epoch,train_nll,val_nll
1,1.141212953130404,0.4024639981133597
2,0.3431299225737651,0.32010198065212797
3,0.22887890953570605,0.2539378660065787
4,0.03878884108465475,-0.28769141009875704
5,-0.6207162991166115,-0.8044293778283256
6,-0.7740229507287343,-0.9978322982788086
7,-1.1642769893010458,-1.2398242950439453
8,-1.2724496086438497,-1.0612270065716334
9,-1.411275867621104,-1.433408532823835
10,-1.4637985507647195,-1.1950987577438354
11,-1.759965439637502,-1.9764950445720129
12,-2.037227463722229,-2.0761649097715105
13,-2.311848564942678,-2.4360195568629672
14,-2.5980780124664307,-2.488018955503191
15,-2.7160829067230225,-2.71226624080113
16,-2.8262107729911805,-2.9080815655844554
17,-3.1947773456573487,-2.6367650032043457
18,-2.959759469827016,-3.2156684398651123
19,-3.504746095339457,-3.8412438120160783
20,-3.7135957956314085,-1.599022090435028
21,-3.3411449591318765,-3.412984711783273
22,-3.468919356664022,-1.8580891575132097
23,-3.817341152826945,-3.4953343527657643
24,-3.8801022370656333,-3.7974678448268344
25,-4.201637554168701,-4.2655205726623535
26,-4.4468026479085285,-3.982205731528146
27,-4.4496297359466555,-4.416777099881854
28,-4.600284568468729,-4.2464311463492255
29,-4.348731478055318,-3.127648421696254
30,-4.448003562291463,-4.699548380715506
31,-4.619273972511292,-4.3294126987457275
32,-4.545580156644186,-4.847165448325021
33,-4.785491220156351,-4.8094073704310825
34,-5.005578088760376,-4.864341054643903
35,-4.883002066612244,-4.740707874298096
36,-5.005630151430766,-4.760164397103446
37,-5.0059280077616375,-4.701563971383231
38,-5.259146245320638,-5.256838253566197
39,-5.080469878514608,-4.898874078478132
40,-5.369890975952148,-5.103133337838309
41,-5.29635853767395,-5.150136470794678
42,-5.3146943092346195,-4.722361837114606
43,-5.40532112121582,-5.060692582811628
44,-5.62660961151123,-5.032618931361607
45,-5.778793748219808,-5.544637271336147
46,-5.7937783400217695,-5.2385857445853095
47,-5.206918867429097,-4.938311304364886
48,-5.568764734268188,-5.822901317051479
49,-5.384664980570475,-5.621359212057931
50,-5.635599851608276,-5.409785406930106
51,-5.799720573425293,-6.026808534349714
52,-6.013251543045044,-5.772162301199777
53,-6.135736831029257,-5.75210748400007
54,-5.852617422739665,-5.4054356302533835
55,-5.8170132795969645,-6.059687273842948
56,-6.272863737742106,-6.128235135759626
57,-6.142259915669759,-6.172994068690708
58,-6.383337418238322,-6.462815012250628
59,-6.595056358973185,-6.310707364763532
60,-6.299269962310791,-5.907105718340192
61,-6.3489290078481035,-6.605679648263114
62,-6.594428777694702,-6.548179422106061
63,-6.211796108881632,-3.355607237134661
64,-6.411737505594889,-6.606646469661167
65,-6.746993557612101,-6.708895070212228
66,-6.0288375536600745,-5.827441760471889
67,-6.662156009674073,-6.3214834077017645
68,-6.8065701166788735,-6.110679422106061
69,-6.781535418828328,-4.1520382676805765
70,-6.677764511108398,-6.923771245138986
71,-6.944695742925008,-7.100606032780239
72,-7.203481038411458,-7.182720593043736
73,-7.194868961970012,-6.817391054970877
74,-7.215297985076904,-7.053207738058908
75,-7.256368764241537,-7.0745134353637695
76,-7.019832213719686,-7.200669288635254
77,-7.0840943336486815,-7.032666070120675
78,-7.302621491750082,-7.422645092010498
79,-7.159114027023316,-7.338689463479178
80,-7.461503982543945,-7.387578351157052
81,-7.490021181106568,-7.529993329729352
82,-7.470586776733398,-7.483414445604597
83,-7.635211245218913,-7.425993646894183
84,-7.7611490249633786,-7.778472014835903
85,-7.511870733896891,-7.061937468392508
